客户ID,年龄,收入等级,产品,开通日期
C0029,57,低,信用卡,2024-07-31
C0029,57,低,保险,2024-10-01
C0029,57,低,理财产品,2024-10-30
C0030,39,低,储蓄账户,2024-03-11
C0030,39,低,信用卡,2024-05-09
C0030,39,低,贷款,2025-07-07
C0031,57,低,储蓄账户,2024-03-23
C0031,57,低,信用卡,2024-04-24
C0031,57,低,保险,2025-03-22
C0032,24,中,储蓄账户,2024-04-14
C0032,24,中,信用卡,2024-07-08
C0032,24,中,基金,2024-07-10
C0032,24,中,理财产品,2024-10-10
C0033,31,高,信用卡,2024-07-07
C0033,31,高,理财产品,2024-10-07
C0033,31,高,基金,2025-01-02
C0034,48,高,储蓄账户,2024-05-17
C0034,48,高,基金,2024-09-09
C0034,48,高,理财产品,2024-10-12
C0035,36,低,储蓄账户,2024-06-10
C0035,36,低,信用卡,2024-09-07
C0036,47,中,储蓄账户,2024-06-17
C0037,56,中,储蓄账户,2024-06-27
C0037,56,中,理财产品,2024-10-28
C0037,56,中,保险,2025-02-23
C0038,44,中,储蓄账户,2024-07-01
C0038,44,中,信用卡,2024-10-25
C0038,44,中,基金,2024-12-27
C0039,49,低,理财产品,2025-01-24
C0039,49,低,基金,2025-03-22
C0039,49,低,保险,2025-04-26
C0040,64,高,储蓄账户,2024-08-28
C0040,64,高,基金,2025-02-22
C0040,64,高,理财产品,2025-03-23
C0041,34,中,储蓄账户,2024-09-07
C0041,34,中,信用卡,2025-01-06
C0041,34,中,保险,2025-05-02
C0041,34,中,贷款,2025-11-30
C0042,59,中,储蓄账户,2024-09-16
C0042,59,中,基金,2025-02-15
C0042,59,中,保险,2025-08-10
C0043,32,中,储蓄账户,2024-10-04
C0043,32,中,基金,2024-11-30
C0043,32,中,信用卡,2024-12-29
C0043,32,中,保险,2025-04-28
C0043,32,中,贷款,2026-03-24
C0044,61,高,储蓄账户,2024-10-04
C0044,61,高,信用卡,2025-01-31
C0044,61,高,贷款,2025-09-25
C0045,37,低,储蓄账户,2024-10-24
C0045,37,低,保险,2025-03-21
C0046,57,低,储蓄账户,2024-10-29
C0046,57,低,保险,2025-04-29
C0046,57,低,理财产品,2025-08-26
C0047,50,中,储蓄账户,2024-11-15
C0047,50,中,基金,2025-07-11
C0047,50,中,贷款,2026-01-11
C0048,37,高,储蓄账户,2024-12-12
C0048,37,高,信用卡,2025-03-09
C0048,37,高,基金,2025-07-12
C0048,37,高,保险,2025-08-08
C0048,37,高,贷款,2025-09-06
C0049,56,低,储蓄账户,2024-12-22
C0049,56,低,基金,2025-03-18
C0049,56,低,理财产品,2025-09-18
C0050,43,中,储蓄账户,2024-12-24
C0050,43,中,基金,2025-02-24
C0051,23,高,基金,2025-09-04
C0051,23,高,理财产品,2025-10-01
C0052,48,中,储蓄账户,2025-02-06
C0052,48,中,基金,2025-07-03
C0052,48,中,信用卡,2025-08-05
C0052,48,中,理财产品,2025-08-04
C0052,48,中,保险,2025-10-06
C0052,48,中,贷款,2026-02-03
C0053,51,高,储蓄账户,2025-03-04
C0053,51,高,保险,2025-12-29
C0054,30,高,储蓄账户,2025-03-23
C0054,30,高,贷款,2025-09-20
C0055,43,中,储蓄账户,2025-04-02
C0055,43,中,基金,2025-07-29
C0055,43,中,保险,2026-01-28
C0056,36,中,储蓄账户,2025-04-01
C0056,36,中,基金,2025-06-29
C0056,36,中,保险,2025-08-02
C0056,36,中,信用卡,2025-09-28
C0057,29,中,储蓄账户,2025-04-09
C0057,29,中,信用卡,2025-08-06
C0057,29,中,基金,2025-11-07
C0057,29,中,理财产品,2025-11-07
C0058,32,高,储蓄账户,2025-05-09
C0058,32,高,基金,2025-07-10
C0058,32,高,信用卡,2025-10-09
C0059,34,低,储蓄账户,2025-06-10
C0059,34,低,保险,2025-11-04
C0060,58,中,储蓄账户,2025-07-07
C0060,58,中,基金,2025-12-31
C0060,58,中,贷款,2026-06-27
C0061,53,低,储蓄账户,2025-07-19
C0061,53,低,基金,2026-02-16
C0061,53,低,理财产品,2026-05-15
C0061,53,低,贷款,2026-12-15
C0062,56,中,储蓄账户,2025-08-05
C0062,56,中,保险,2026-04-01
C0062,56,中,贷款,2026-07-29
C0063,58,中,储蓄账户,2025-08-11
C0063,58,中,贷款,2026-07-10
C0064,44,中,储蓄账户,2025-09-11
C0064,44,中,基金,2026-01-05
C0064,44,中,理财产品,2026-04-09
C0065,53,中,储蓄账户,2025-10-12
C0065,53,中,基金,2026-05-08
C0065,53,中,保险,2026-09-05
C0065,53,中,贷款,2027-01-30
C0066,41,中,储蓄账户,2025-10-12
C0066,41,中,信用卡,2026-01-12
C0066,41,中,理财产品,2026-06-10
C0066,41,中,保险,2026-10-06
C0066,41,中,贷款,2026-12-05
C0067,36,低,储蓄账户,2025-11-05
C0067,36,低,基金,2026-01-03
C0067,36,低,贷款,2026-10-01
C0068,39,中,储蓄账户,2025-11-06
C0068,39,中,基金,2026-01-06
C0068,39,中,保险,2026-06-04
C0068,39,中,贷款,2026-09-03
C0069,25,中,储蓄账户,2025-11-05
C0069,25,中,信用卡,2026-05-04
C0069,25,中,保险,2026-10-05
C0070,43,低,储蓄账户,2025-11-14
C0070,43,低,信用卡,2025-12-17
C0070,43,低,保险,2026-04-16
C0070,43,低,基金,2026-07-12
C0070,43,低,贷款,2026-12-13
C0071,27,高,储蓄账户,2025-12-07
C0071,27,高,信用卡,2026-05-07
C0071,27,高,基金,2026-08-05
C0072,50,高,储蓄账户,2026-01-01
C0072,50,高,基金,2026-08-28
C0072,50,高,贷款,2027-03-28
C0073,28,高,储蓄账户,2026-01-18
C0073,28,高,信用卡,2026-07-18
C0074,57,低,储蓄账户,2026-02-12
C0074,57,低,基金,2026-07-11
C0074,57,低,理财产品,2026-12-07
C0075,51,低,储蓄账户,2026-02-21
C0075,51,低,信用卡,2026-05-21
C0075,51,低,基金,2026-10-19
C0076,56,低,储蓄账户,2026-03-13
C0076,56,低,基金,2026-07-11
C0076,56,低,保险,2026-09-10
C0077,58,高,储蓄账户,2026-04-12
C0077,58,高,信用卡,2026-08-08
C0077,58,高,保险,2026-12-05
C0077,58,高,贷款,2027-05-06
C0078,60,低,储蓄账户,2026-04-24
C0078,60,低,信用卡,2026-08-23
C0078,60,低,保险,2026-08-27
C0078,60,低,基金,2026-10-25
C0078,60,低,贷款,2027-02-22
C0079,65,高,储蓄账户,2026-05-25
C0080,39,低,储蓄账户,2026-06-11
C0080,39,低,保险,2026-11-07
C0080,39,低,理财产品,2027-04-07
C0081,32,中,储蓄账户,2026-06-22
C0081,32,中,基金,2026-10-16
C0081,32,中,理财产品,2027-03-18
C0082,47,高,储蓄账户,2026-06-20
C0082,47,高,基金,2027-01-17
C0082,47,高,理财产品,2027-04-20
C0082,47,高,保险,2027-04-18
C0083,25,低,储蓄账户,2026-07-09
C0083,25,低,基金,2026-11-06
C0083,25,低,信用卡,2026-12-11
C0083,25,低,保险,2027-06-08
C0083,25,低,贷款,2027-08-04
C0084,22,中,储蓄账户,2026-08-03
C0084,22,中,信用卡,2026-08-30
C0084,22,中,贷款,2027-03-03
C0085,40,中,储蓄账户,2026-08-29
C0085,40,中,信用卡,2026-12-25
C0085,40,中,基金,2027-04-26
C0085,40,中,理财产品,2027-06-26
C0086,26,低,储蓄账户,2026-08-30
C0086,26,低,理财产品,2027-03-30
C0086,26,低,保险,2027-06-01
C0087,64,中,基金,2026-12-11
C0087,64,中,理财产品,2027-07-08
C0088,56,中,储蓄账户,2026-09-24
C0088,56,中,理财产品,2027-03-19
C0088,56,中,基金,2027-05-21
C0089,48,低,储蓄账户,2026-10-04
C0089,48,低,信用卡,2027-04-04
C0089,48,低,基金,2027-05-04
C0089,48,低,保险,2027-07-29
C0090,28,高,储蓄账户,2026-10-19
C0090,28,高,信用卡,2026-11-15
C0090,28,高,基金,2027-04-19
C0091,31,低,信用卡,2027-01-23
C0091,31,低,基金,2027-02-17
C0091,31,低,理财产品,2027-07-19
C0092,42,中,储蓄账户,2026-11-17
C0092,42,中,信用卡,2027-03-21
C0092,42,中,保险,2027-04-20
C0093,27,中,储蓄账户,2026-12-20
C0093,27,中,信用卡,2027-01-16
C0093,27,中,保险,2027-06-13
C0093,27,中,贷款,2028-01-09
C0094,49,低,储蓄账户,2026-12-26
C0094,49,低,信用卡,2027-05-25
C0094,49,低,基金,2027-07-24
C0095,61,中,储蓄账户,2026-12-28
C0095,61,中,基金,2027-06-28
C0095,61,中,贷款,2027-08-29
C0096,51,高,储蓄账户,2027-01-06
C0096,51,高,贷款,2027-08-06
C0096,51,高,保险,2027-12-02
C0097,51,高,信用卡,2027-03-25
C0097,51,高,基金,2027-06-24
C0097,51,高,理财产品,2027-11-23
C0098,40,低,储蓄账户,2027-02-15
C0098,40,低,理财产品,2027-05-17
C0098,40,低,基金,2027-06-14
C0098,40,低,保险,2027-06-13
C0098,40,低,信用卡,2027-08-11
C0099,61,低,储蓄账户,2027-03-04
C0099,61,低,理财产品,2027-07-03
C0099,61,低,保险,2027-06-30
C0099,61,低,信用卡,2027-09-02
C0099,61,低,基金,2027-09-30
C0100,42,中,储蓄账户,2027-03-29
C0100,42,中,信用卡,2027-05-28
C0100,42,中,基金,2027-06-25
C0100,42,中,理财产品,2027-11-21
