customer_id,age_group,income_level,occupation,risk_tolerance,transaction_date,transaction_month,products,product_categories,total_amount
C0113,31-35,低,个体户,稳健型,2025-11-21,2025-11,"住房贷款,国债","信贷类,投资类",65737
C0262,41-45,高,企业职员,保守型,2025-11-11,2025-11,理财产品,投资类,50118
C0426,46-50,中,公务员,稳健型,2025-05-02,2025-05,消费贷款,信贷类,174641
C0196,36-40,中,企业职员,稳健型,2025-10-01,2025-10,"住房贷款,大额存单,消费贷款,理财产品","信贷类,存款类,信贷类,投资类",162172
C0305,25-30,中,公务员,稳健型,2025-06-11,2025-06,"大额存单,信用卡","存款类,信贷类",289972
C0109,36-40,低,企业职员,稳健型,2025-02-20,2025-02,"股票,保险","投资类,保障类",44138
C0324,36-40,中,自由职业,保守型,2025-04-02,2025-04,"住房贷款,活期存款,信用卡","信贷类,存款类,信贷类",208660
C0099,31-35,高,企业职员,进取型,2025-09-09,2025-09,"基金,年金","投资类,保障类",664654
C0008,36-40,低,公务员,保守型,2025-10-11,2025-10,"保险,信用卡,活期存款,国债","保障类,信贷类,存款类,投资类",181891
C0246,31-35,高,企业职员,保守型,2025-01-05,2025-01,"大额存单,信用卡,消费贷款,活期存款","存款类,信贷类,信贷类,存款类",918891
C0183,31-35,低,企业职员,稳健型,2025-09-07,2025-09,"国债,贵金属,基金","投资类,投资类,投资类",237882
C0437,36-40,中,企业职员,稳健型,2025-08-07,2025-08,"信用卡,年金","信贷类,保障类",82610
C0048,36-40,中,企业职员,进取型,2025-11-25,2025-11,活期存款,存款类,53714
C0337,41-45,中,企业职员,稳健型,2025-08-13,2025-08,"活期存款,信用卡,基金,股票","存款类,信贷类,投资类,投资类",338796
C0349,31-35,中,企业职员,进取型,2025-08-02,2025-08,"保险,定期存款,理财产品","保障类,存款类,投资类",121798
C0057,31-35,中,退休人员,稳健型,2025-08-10,2025-08,住房贷款,信贷类,57858
C0264,46-50,高,退休人员,稳健型,2025-10-09,2025-10,"理财产品,活期存款,保险,信用卡","投资类,存款类,保障类,信贷类",678609
C0128,46-50,高,个体户,稳健型,2025-07-20,2025-07,"信用卡,贵金属,活期存款,基金","信贷类,投资类,存款类,投资类",464505
C0355,25-30,低,企业职员,进取型,2025-03-13,2025-03,信用卡,信贷类,51222
C0016,31-35,中,自由职业,稳健型,2025-03-07,2025-03,股票,投资类,130179
C0234,46-50,中,企业职员,稳健型,2025-05-24,2025-05,"活期存款,保险,理财产品","存款类,保障类,投资类",128060
C0055,31-35,高,公务员,进取型,2025-01-27,2025-01,国债,投资类,109783
C0295,41-45,低,个体户,稳健型,2025-11-17,2025-11,"定期存款,活期存款,国债","存款类,存款类,投资类",122937
C0074,41-45,中,企业职员,稳健型,2025-01-10,2025-01,"国债,贵金属,股票,基金","投资类,投资类,投资类,投资类",310636
C0260,31-35,高,企业职员,稳健型,2025-07-24,2025-07,"保险,基金,定期存款,信用卡,外汇","保障类,投资类,存款类,信贷类,投资类",822577
C0214,31-35,高,企业职员,稳健型,2025-10-21,2025-10,"国债,基金,理财产品,消费贷款","投资类,投资类,投资类,信贷类",929298
C0452,31-35,高,个体户,稳健型,2025-04-10,2025-04,"消费贷款,基金,理财产品,保险,活期存款","信贷类,投资类,投资类,保障类,存款类",607966
C0101,25-30,高,公务员,进取型,2025-01-24,2025-01,"消费贷款,信托,理财产品,活期存款","信贷类,投资类,投资类,存款类",920419
C0304,31-35,高,个体户,稳健型,2025-12-25,2025-12,"基金,定期存款,理财产品","投资类,存款类,投资类",320367
C0489,36-40,高,退休人员,进取型,2025-01-13,2025-01,"年金,信用卡","保障类,信贷类",146220
C0459,36-40,高,自由职业,进取型,2025-11-06,2025-11,"理财产品,外汇,国债,活期存款","投资类,投资类,投资类,存款类",1161069
C0149,31-35,中,自由职业,稳健型,2025-01-28,2025-01,"定期存款,消费贷款,理财产品","存款类,信贷类,投资类",202804
C0044,36-40,中,公务员,保守型,2025-10-30,2025-10,"活期存款,大额存单,定期存款,股票","存款类,存款类,存款类,投资类",622990
C0024,41-45,中,个体户,稳健型,2025-01-29,2025-01,"消费贷款,股票,信托","信贷类,投资类,投资类",418019
C0175,31-35,中,企业职员,稳健型,2025-04-14,2025-04,信用卡,信贷类,54306
C0175,31-35,中,企业职员,稳健型,2025-08-10,2025-08,"定期存款,基金","存款类,投资类",86214
C0055,31-35,高,公务员,进取型,2025-01-07,2025-01,"基金,活期存款","投资类,存款类",277998
C0135,41-45,中,公务员,保守型,2025-08-16,2025-08,"活期存款,信用卡,保险,理财产品","存款类,信贷类,保障类,投资类",128709
C0079,25-30,高,自由职业,进取型,2025-05-04,2025-05,"活期存款,消费贷款,保险","存款类,信贷类,保障类",278337
C0143,46-50,中,个体户,进取型,2025-10-15,2025-10,基金,投资类,47102
C0362,41-45,中,个体户,进取型,2025-01-26,2025-01,"理财产品,住房贷款,股票,信用卡","投资类,信贷类,投资类,信贷类",496992
C0057,31-35,中,退休人员,稳健型,2025-02-16,2025-02,保险,保障类,9744
C0282,36-40,中,企业职员,稳健型,2025-08-29,2025-08,"股票,定期存款,活期存款,基金,大额存单","投资类,存款类,存款类,投资类,存款类",421680
C0302,36-40,高,个体户,稳健型,2025-08-11,2025-08,定期存款,存款类,350668
C0093,31-35,低,企业职员,保守型,2025-01-08,2025-01,"活期存款,信用卡","存款类,信贷类",97801
C0070,41-45,高,个体户,进取型,2025-06-18,2025-06,"消费贷款,住房贷款","信贷类,信贷类",345162
C0089,36-40,低,企业职员,稳健型,2025-10-01,2025-10,"活期存款,外汇,住房贷款","存款类,投资类,信贷类",114983
C0450,41-45,低,企业职员,保守型,2025-09-04,2025-09,"信用卡,年金","信贷类,保障类",83311
C0427,36-40,低,公务员,保守型,2025-02-08,2025-02,"消费贷款,年金,信用卡,国债","信贷类,保障类,信贷类,投资类",201174
C0255,31-35,中,自由职业,保守型,2025-06-20,2025-06,信用卡,信贷类,18390
C0360,31-35,高,企业职员,进取型,2025-11-18,2025-11,"信用卡,理财产品,基金","信贷类,投资类,投资类",4300909
C0404,36-40,中,企业职员,稳健型,2025-04-27,2025-04,活期存款,存款类,39098
C0359,36-40,中,企业职员,保守型,2025-04-01,2025-04,"国债,住房贷款","投资类,信贷类",238130
C0082,46-50,高,个体户,进取型,2025-11-20,2025-11,"信用卡,消费贷款,活期存款,保险","信贷类,信贷类,存款类,保障类",580872
C0068,31-35,中,自由职业,进取型,2025-07-16,2025-07,"国债,基金,信用卡","投资类,投资类,信贷类",411593
C0279,31-35,中,公务员,稳健型,2025-12-28,2025-12,"国债,定期存款,大额存单,理财产品","投资类,存款类,存款类,投资类",167676
C0378,36-40,高,自由职业,进取型,2025-09-28,2025-09,"基金,活期存款,年金,保险","投资类,存款类,保障类,保障类",691562
C0433,41-45,高,企业职员,进取型,2025-06-30,2025-06,"基金,活期存款","投资类,存款类",588518
C0313,46-50,高,退休人员,稳健型,2025-09-06,2025-09,理财产品,投资类,108352
C0313,46-50,高,退休人员,稳健型,2025-05-18,2025-05,"定期存款,活期存款","存款类,存款类",309470
C0342,41-45,低,个体户,进取型,2025-10-30,2025-10,"理财产品,保险","投资类,保障类",59467
C0397,46-50,低,自由职业,保守型,2025-12-09,2025-12,"信用卡,定期存款,大额存单","信贷类,存款类,存款类",94415
C0310,41-45,中,退休人员,保守型,2025-05-29,2025-05,大额存单,存款类,27415
C0287,31-35,高,个体户,进取型,2025-07-21,2025-07,理财产品,投资类,39506
C0480,41-45,中,公务员,稳健型,2025-01-10,2025-01,"理财产品,消费贷款,贵金属","投资类,信贷类,投资类",238021
C0241,25-30,中,企业职员,稳健型,2025-11-17,2025-11,"定期存款,住房贷款,基金","存款类,信贷类,投资类",168802
C0418,25-30,中,企业职员,进取型,2025-09-08,2025-09,定期存款,存款类,106251
C0070,41-45,高,个体户,进取型,2025-09-19,2025-09,"定期存款,活期存款,保险","存款类,存款类,保障类",514170
C0474,41-45,中,公务员,稳健型,2025-09-28,2025-09,"理财产品,信用卡,活期存款","投资类,信贷类,存款类",254914
C0078,41-45,中,公务员,保守型,2025-11-10,2025-11,"信用卡,活期存款,股票","信贷类,存款类,投资类",1000821
C0193,31-35,高,企业职员,进取型,2025-10-10,2025-10,"定期存款,消费贷款,保险","存款类,信贷类,保障类",747801
C0095,41-45,低,自由职业,保守型,2025-05-31,2025-05,"信用卡,基金","信贷类,投资类",69887
C0375,36-40,中,企业职员,进取型,2025-04-24,2025-04,"信用卡,活期存款,外汇,股票","信贷类,存款类,投资类,投资类",306784
C0097,41-45,高,企业职员,稳健型,2025-01-05,2025-01,"理财产品,活期存款,年金","投资类,存款类,保障类",146111
C0450,41-45,低,企业职员,保守型,2025-02-16,2025-02,"住房贷款,信用卡","信贷类,信贷类",166351
C0215,25-30,中,公务员,保守型,2025-05-08,2025-05,"活期存款,定期存款,理财产品,住房贷款","存款类,存款类,投资类,信贷类",243736
C0453,31-35,低,个体户,稳健型,2025-03-23,2025-03,"基金,理财产品,定期存款","投资类,投资类,存款类",64352
C0208,41-45,中,企业职员,稳健型,2025-01-02,2025-01,"外汇,消费贷款","投资类,信贷类",160103
C0157,36-40,中,公务员,稳健型,2025-08-18,2025-08,基金,投资类,58042
C0483,36-40,低,公务员,稳健型,2025-11-18,2025-11,"活期存款,消费贷款","存款类,信贷类",207346
C0481,36-40,低,公务员,保守型,2025-12-18,2025-12,"定期存款,国债,信用卡","存款类,投资类,信贷类",137818
C0379,46-50,低,企业职员,保守型,2025-09-05,2025-09,"保险,理财产品,活期存款","保障类,投资类,存款类",102804
C0420,25-30,中,企业职员,稳健型,2025-03-14,2025-03,"定期存款,保险,住房贷款,活期存款","存款类,保障类,信贷类,存款类",214056
C0127,36-40,低,自由职业,稳健型,2025-09-28,2025-09,"股票,基金,住房贷款,定期存款","投资类,投资类,信贷类,存款类",311089
C0039,25-30,中,退休人员,保守型,2025-09-02,2025-09,"保险,活期存款,定期存款,基金","保障类,存款类,存款类,投资类",559737
C0338,46-50,低,退休人员,稳健型,2025-04-04,2025-04,"信用卡,消费贷款,国债,活期存款,基金","信贷类,信贷类,投资类,存款类,投资类",347390
C0490,36-40,中,公务员,进取型,2025-07-28,2025-07,"国债,股票,理财产品,基金,信用卡","投资类,投资类,投资类,投资类,信贷类",1009508
C0168,31-35,中,企业职员,进取型,2025-04-24,2025-04,"消费贷款,活期存款,信用卡","信贷类,存款类,信贷类",102597
C0185,31-35,高,公务员,稳健型,2025-07-24,2025-07,"基金,活期存款","投资类,存款类",400469
C0207,36-40,高,企业职员,稳健型,2025-05-09,2025-05,"理财产品,贵金属,大额存单,定期存款","投资类,投资类,存款类,存款类",542250
C0084,25-30,低,企业职员,保守型,2025-03-24,2025-03,大额存单,存款类,10493
C0312,41-45,高,企业职员,保守型,2025-08-22,2025-08,"大额存单,年金,保险","存款类,保障类,保障类",146340
C0352,36-40,中,自由职业,进取型,2025-02-05,2025-02,"基金,理财产品,股票","投资类,投资类,投资类",492248
C0087,31-35,中,公务员,保守型,2025-03-17,2025-03,"年金,理财产品,国债,活期存款","保障类,投资类,投资类,存款类",202595
C0407,31-35,中,企业职员,稳健型,2025-02-14,2025-02,"活期存款,年金","存款类,保障类",112532
C0150,36-40,低,企业职员,保守型,2025-09-03,2025-09,活期存款,存款类,100946
C0235,25-30,高,企业职员,进取型,2025-05-02,2025-05,"活期存款,理财产品","存款类,投资类",923058
C0206,41-45,低,企业职员,保守型,2025-06-16,2025-06,理财产品,投资类,22182
C0412,25-30,中,企业职员,进取型,2025-06-01,2025-06,"国债,基金,贵金属","投资类,投资类,投资类",422549
C0449,36-40,中,企业职员,保守型,2025-12-20,2025-12,"信用卡,国债","信贷类,投资类",130112
C0433,41-45,高,企业职员,进取型,2025-09-02,2025-09,理财产品,投资类,226323
C0071,41-45,中,公务员,保守型,2025-09-26,2025-09,"信用卡,定期存款","信贷类,存款类",58310
C0241,25-30,中,企业职员,稳健型,2025-03-03,2025-03,"活期存款,股票,国债,信托","存款类,投资类,投资类,投资类",467756
C0086,36-40,中,企业职员,稳健型,2025-12-02,2025-12,"活期存款,大额存单","存款类,存款类",170851
C0147,36-40,中,企业职员,保守型,2025-09-28,2025-09,"活期存款,大额存单,年金","存款类,存款类,保障类",676880
C0224,41-45,中,个体户,保守型,2025-05-16,2025-05,"理财产品,基金,消费贷款,活期存款","投资类,投资类,信贷类,存款类",438890
C0335,31-35,中,企业职员,保守型,2025-01-20,2025-01,"国债,大额存单,定期存款,理财产品,活期存款","投资类,存款类,存款类,投资类,存款类",466397
C0049,46-50,高,公务员,稳健型,2025-12-14,2025-12,"活期存款,外汇,股票","存款类,投资类,投资类",1904439
C0318,36-40,中,个体户,进取型,2025-10-22,2025-10,"保险,活期存款,大额存单","保障类,存款类,存款类",196067
C0390,36-40,中,自由职业,进取型,2025-08-03,2025-08,"基金,保险,信用卡","投资类,保障类,信贷类",421761
C0332,46-50,中,企业职员,进取型,2025-06-19,2025-06,"保险,基金","保障类,投资类",113441
C0237,31-35,低,企业职员,进取型,2025-04-04,2025-04,"信用卡,国债,贵金属,活期存款","信贷类,投资类,投资类,存款类",95370
C0062,25-30,高,企业职员,进取型,2025-10-21,2025-10,"贵金属,保险,理财产品","投资类,保障类,投资类",534560
C0411,36-40,高,公务员,进取型,2025-12-22,2025-12,"活期存款,保险,年金,基金","存款类,保障类,保障类,投资类",343371
C0165,31-35,中,公务员,稳健型,2025-03-04,2025-03,"基金,信用卡","投资类,信贷类",196132
C0302,36-40,高,个体户,稳健型,2025-06-27,2025-06,"基金,定期存款,保险,理财产品","投资类,存款类,保障类,投资类",787714
C0381,25-30,高,企业职员,保守型,2025-09-13,2025-09,"信用卡,消费贷款,外汇,活期存款,理财产品","信贷类,信贷类,投资类,存款类,投资类",902580
C0459,36-40,高,自由职业,进取型,2025-07-06,2025-07,"基金,活期存款,理财产品,定期存款","投资类,存款类,投资类,存款类",519511
C0442,31-35,中,个体户,稳健型,2025-12-21,2025-12,"基金,活期存款,信托,信用卡,定期存款","投资类,存款类,投资类,信贷类,存款类",953210
C0191,31-35,中,企业职员,稳健型,2025-11-11,2025-11,"基金,股票,信用卡","投资类,投资类,信贷类",259385
C0014,46-50,高,个体户,进取型,2025-07-22,2025-07,"年金,基金,信用卡,活期存款,外汇","保障类,投资类,信贷类,存款类,投资类",1131247
C0104,46-50,中,个体户,稳健型,2025-08-02,2025-08,"基金,消费贷款,活期存款","投资类,信贷类,存款类",327225
C0296,46-50,中,个体户,进取型,2025-04-28,2025-04,"信用卡,外汇,消费贷款","信贷类,投资类,信贷类",435129
C0438,41-45,低,公务员,保守型,2025-01-26,2025-01,"活期存款,国债,保险","存款类,投资类,保障类",122734
C0439,25-30,低,退休人员,稳健型,2025-05-24,2025-05,"信托,国债,住房贷款","投资类,投资类,信贷类",210710
C0073,31-35,中,企业职员,保守型,2025-06-28,2025-06,信用卡,信贷类,116730
C0239,31-35,高,公务员,稳健型,2025-08-11,2025-08,"基金,信用卡,活期存款,理财产品,住房贷款","投资类,信贷类,存款类,投资类,信贷类",781978
C0276,25-30,高,自由职业,进取型,2025-02-19,2025-02,"活期存款,大额存单","存款类,存款类",82519
C0360,31-35,高,企业职员,进取型,2025-04-20,2025-04,"理财产品,活期存款,信用卡","投资类,存款类,信贷类",213425
C0013,36-40,低,退休人员,稳健型,2025-02-05,2025-02,"信用卡,活期存款","信贷类,存款类",119629
C0383,41-45,中,企业职员,稳健型,2025-10-05,2025-10,"大额存单,国债,信用卡","存款类,投资类,信贷类",133944
C0355,25-30,低,企业职员,进取型,2025-04-22,2025-04,"信用卡,股票","信贷类,投资类",89443
C0439,25-30,低,退休人员,稳健型,2025-04-16,2025-04,"基金,定期存款","投资类,存款类",87918
C0460,25-30,低,自由职业,保守型,2025-04-16,2025-04,"国债,信用卡","投资类,信贷类",27210
C0082,46-50,高,个体户,进取型,2025-11-29,2025-11,"股票,年金,理财产品","投资类,保障类,投资类",511388
C0439,25-30,低,退休人员,稳健型,2025-10-22,2025-10,"信用卡,活期存款,定期存款","信贷类,存款类,存款类",468682
C0132,41-45,中,公务员,稳健型,2025-02-08,2025-02,"保险,大额存单,活期存款,信用卡,年金","保障类,存款类,存款类,信贷类,保障类",222214
C0422,25-30,高,自由职业,稳健型,2025-07-19,2025-07,"理财产品,信用卡,大额存单","投资类,信贷类,存款类",552732
C0308,46-50,中,退休人员,保守型,2025-12-11,2025-12,定期存款,存款类,97550
C0213,36-40,中,企业职员,稳健型,2025-09-07,2025-09,"国债,保险,贵金属","投资类,保障类,投资类",100310
C0420,25-30,中,企业职员,稳健型,2025-09-30,2025-09,"定期存款,消费贷款","存款类,信贷类",142781
C0315,31-35,中,企业职员,稳健型,2025-04-21,2025-04,"股票,信用卡,定期存款,基金,国债","投资类,信贷类,存款类,投资类,投资类",501785
C0424,31-35,低,企业职员,保守型,2025-04-26,2025-04,"基金,信用卡,活期存款","投资类,信贷类,存款类",122018
C0288,41-45,高,个体户,进取型,2025-09-28,2025-09,"保险,信用卡,大额存单","保障类,信贷类,存款类",456526
C0107,25-30,中,企业职员,进取型,2025-08-20,2025-08,"活期存款,国债","存款类,投资类",149718
C0221,31-35,中,企业职员,保守型,2025-08-01,2025-08,"消费贷款,理财产品,活期存款","信贷类,投资类,存款类",458951
C0305,25-30,中,公务员,稳健型,2025-05-29,2025-05,"保险,消费贷款,大额存单,外汇,理财产品","保障类,信贷类,存款类,投资类,投资类",288125
C0058,41-45,高,个体户,进取型,2025-09-26,2025-09,信托,投资类,322470
C0494,31-35,中,企业职员,进取型,2025-03-24,2025-03,"基金,活期存款","投资类,存款类",273334
C0210,46-50,中,个体户,稳健型,2025-10-31,2025-10,"消费贷款,定期存款,理财产品,活期存款","信贷类,存款类,投资类,存款类",243278
C0290,31-35,高,自由职业,保守型,2025-03-08,2025-03,"基金,贵金属","投资类,投资类",545326
C0010,31-35,低,个体户,保守型,2025-07-30,2025-07,"信用卡,活期存款,定期存款,保险,股票","信贷类,存款类,存款类,保障类,投资类",210750
C0129,46-50,高,企业职员,保守型,2025-09-03,2025-09,"定期存款,大额存单","存款类,存款类",347332
C0214,31-35,高,企业职员,稳健型,2025-10-21,2025-10,"消费贷款,定期存款,保险","信贷类,存款类,保障类",943393
C0363,46-50,高,公务员,进取型,2025-04-22,2025-04,"活期存款,国债","存款类,投资类",767273
C0040,36-40,高,企业职员,进取型,2025-08-30,2025-08,"消费贷款,活期存款,理财产品","信贷类,存款类,投资类",503963
C0181,46-50,低,企业职员,稳健型,2025-11-07,2025-11,"活期存款,贵金属","存款类,投资类",65820
C0002,31-35,低,企业职员,进取型,2025-12-26,2025-12,保险,保障类,4669
C0090,25-30,中,自由职业,稳健型,2025-07-24,2025-07,"理财产品,消费贷款,信用卡","投资类,信贷类,信贷类",323382
C0495,31-35,中,自由职业,进取型,2025-06-11,2025-06,活期存款,存款类,35914
C0040,36-40,高,企业职员,进取型,2025-04-11,2025-04,"理财产品,股票,基金","投资类,投资类,投资类",1176304
C0166,31-35,高,公务员,稳健型,2025-04-09,2025-04,"理财产品,信用卡","投资类,信贷类",187719
C0145,25-30,高,企业职员,稳健型,2025-06-15,2025-06,"基金,信用卡,大额存单","投资类,信贷类,存款类",627986
C0241,25-30,中,企业职员,稳健型,2025-09-02,2025-09,"活期存款,保险","存款类,保障类",143708
C0418,25-30,中,企业职员,进取型,2025-01-26,2025-01,"基金,理财产品,外汇,贵金属,消费贷款","投资类,投资类,投资类,投资类,信贷类",336636
C0063,46-50,高,企业职员,稳健型,2025-08-27,2025-08,"活期存款,理财产品,国债","存款类,投资类,投资类",599899
C0145,25-30,高,企业职员,稳健型,2025-11-23,2025-11,"活期存款,理财产品","存款类,投资类",901655
C0398,36-40,高,个体户,进取型,2025-08-27,2025-08,"股票,活期存款","投资类,存款类",188868
C0194,25-30,低,个体户,保守型,2025-10-14,2025-10,大额存单,存款类,7426
C0271,41-45,低,公务员,进取型,2025-06-20,2025-06,"理财产品,信用卡","投资类,信贷类",68408
C0103,46-50,低,公务员,进取型,2025-05-05,2025-05,"基金,年金,国债","投资类,保障类,投资类",139440
C0173,41-45,中,企业职员,稳健型,2025-05-31,2025-05,"股票,信用卡,基金,理财产品","投资类,信贷类,投资类,投资类",389679
C0096,25-30,中,公务员,进取型,2025-08-17,2025-08,"理财产品,信用卡,国债,保险,贵金属","投资类,信贷类,投资类,保障类,投资类",385677
C0454,31-35,低,企业职员,进取型,2025-10-18,2025-10,"基金,信用卡,理财产品,住房贷款,活期存款","投资类,信贷类,投资类,信贷类,存款类",365380
C0047,31-35,中,自由职业,稳健型,2025-09-13,2025-09,"信用卡,活期存款,国债,基金,保险","信贷类,存款类,投资类,投资类,保障类",467169
C0266,41-45,高,个体户,稳健型,2025-04-09,2025-04,"信用卡,消费贷款","信贷类,信贷类",182138
C0382,36-40,中,企业职员,稳健型,2025-03-05,2025-03,"活期存款,消费贷款","存款类,信贷类",69571
C0243,36-40,中,个体户,进取型,2025-01-18,2025-01,"保险,消费贷款,年金,理财产品","保障类,信贷类,保障类,投资类",141457
C0246,31-35,高,企业职员,保守型,2025-05-10,2025-05,基金,投资类,559245
C0191,31-35,中,企业职员,稳健型,2025-03-04,2025-03,基金,投资类,111146
C0254,46-50,低,自由职业,进取型,2025-02-12,2025-02,"理财产品,信用卡,消费贷款,活期存款","投资类,信贷类,信贷类,存款类",138273
C0493,31-35,低,企业职员,稳健型,2025-06-29,2025-06,"基金,理财产品,保险","投资类,投资类,保障类",80698
C0500,46-50,低,企业职员,保守型,2025-10-12,2025-10,定期存款,存款类,44271
C0164,36-40,高,公务员,保守型,2025-08-12,2025-08,"活期存款,理财产品,保险","存款类,投资类,保障类",277407
C0436,41-45,高,个体户,保守型,2025-11-25,2025-11,"理财产品,定期存款","投资类,存款类",341512
C0009,25-30,高,退休人员,进取型,2025-10-15,2025-10,"基金,大额存单,保险,信托","投资类,存款类,保障类,投资类",609244
C0441,36-40,高,企业职员,稳健型,2025-12-07,2025-12,"理财产品,基金,国债,股票","投资类,投资类,投资类,投资类",827761
C0245,36-40,低,公务员,稳健型,2025-04-17,2025-04,"活期存款,保险","存款类,保障类",38101
