age,income,debt_ratio,credit_score,months_employed,num_credit_lines,num_late_payments,loan_amount,savings_balance,employment_type,default
30,32917.13,0.0601,635.0,207,6,1,25.31,121.31,兼职,0
47,68212.81,0.212,639.0,94,6,1,30.7,43.12,兼职,0
23,62171.96,0.2291,646.0,347,1,0,45.59,53.44,自雇,0
41,94790.01,0.1986,622.0,326,3,2,4.85,36.35,全职,1
49,44134.26,0.319,535.0,170,4,1,33.73,46.36,全职,1
28,30522.83,0.3401,676.0,249,6,2,62.05,106.8,全职,0
29,22519.23,0.1453,658.0,189,4,0,90.94,342.38,全职,0
56,12181.6,0.4568,664.0,198,3,0,7.53,10.19,全职,0
35,53139.54,0.3441,629.0,220,14,1,17.87,15.41,全职,0
38,72239.07,0.0382,721.0,23,5,2,19.31,47.4,兼职,0
57,62059.2,0.1746,801.0,243,4,1,34.48,57.38,全职,0
61,22813.73,0.4663,638.0,323,5,2,17.61,43.92,兼职,1
25,82405.96,0.0244,750.0,127,5,1,11.33,31.4,全职,0
23,34575.2,0.0102,698.0,92,7,0,23.9,15.92,自雇,0
27,31149.34,0.4866,682.0,299,7,1,15.33,29.64,自雇,1
63,34189.84,0.1615,663.0,132,7,1,31.49,123.62,自雇,0
25,50980.8,0.1231,676.0,54,2,1,10.51,59.92,兼职,0
50,23333.59,0.3048,737.0,157,5,2,8.87,107.29,兼职,0
39,48121.39,0.3171,623.0,28,3,0,57.53,16.39,全职,0
47,60762.26,0.1895,666.0,210,7,1,123.72,231.4,全职,0
55,85277.16,0.3216,742.0,153,2,0,86.3,31.13,全职,1
31,53528.97,0.3679,729.0,292,6,0,18.96,87.81,兼职,0
57,25089.02,0.4289,624.0,221,4,3,46.72,48.18,自雇,1
35,52809.43,0.3246,671.0,114,8,3,11.6,31.82,全职,0
52,28850.16,0.239,716.0,157,5,0,30.16,84.17,全职,0
36,28029.91,0.1171,713.0,258,1,1,12.59,99.54,全职,0
29,24801.22,0.6523,729.0,250,2,0,54.88,802.73,自雇,0
35,18851.98,0.1385,699.0,121,3,0,49.34,103.47,全职,0
44,36916.67,0.2528,708.0,298,6,2,105.72,101.93,全职,0
61,86201.63,0.4551,697.0,262,8,3,16.72,171.55,全职,1
42,151485.02,0.1484,759.0,48,4,0,71.04,92.93,全职,0
37,36798.32,0.2688,659.0,328,3,1,30.12,52.52,全职,0
39,84377.22,0.3992,682.0,296,6,1,21.33,75.62,全职,0
45,40243.7,0.2345,629.0,76,6,1,26.3,128.36,兼职,0
47,21474.73,0.0979,619.0,126,8,0,78.13,219.37,全职,1
46,69596.61,0.3928,696.0,196,6,1,18.07,12.05,全职,0
62,55127.67,0.2499,644.0,220,6,1,18.82,8.25,兼职,1
50,121662.95,0.0191,677.0,90,5,1,3.85,210.27,自雇,0
36,22757.74,0.1836,761.0,7,4,1,17.86,24.59,自雇,0
22,198395.21,0.5615,758.0,31,5,2,24.82,10.4,全职,0
46,108646.92,0.4121,791.0,319,5,2,10.92,9.47,自雇,0
28,48583.45,0.2921,762.0,268,6,2,8.97,330.91,全职,0
30,42221.34,0.3802,800.0,190,11,0,4.57,131.32,兼职,0
45,34272.38,0.2001,702.0,348,8,2,12.58,24.65,全职,0
22,51785.54,0.0796,635.0,162,7,2,62.61,25.69,全职,0
29,44713.55,0.2885,630.0,60,7,0,6.14,57.68,全职,1
45,63379.62,0.2638,750.0,263,4,0,37.76,128.95,全职,0
32,42311.6,0.2672,683.0,284,8,3,40.59,40.69,兼职,0
38,99457.12,0.2876,686.0,94,6,2,142.92,24.88,全职,0
29,52183.57,0.1682,653.0,40,2,2,46.09,169.87,全职,1
56,43113.5,0.2951,659.0,148,4,0,43.11,53.21,全职,0
56,81809.06,0.2671,699.0,203,0,2,26.95,45.08,全职,0
54,21779.8,0.1833,627.0,266,6,2,20.1,98.7,自雇,0
26,58133.31,0.5198,693.0,1,0,1,39.72,6.45,兼职,1
63,49651.59,0.4009,756.0,177,7,0,54.54,87.72,自雇,0
60,24211.3,0.5686,573.0,193,9,1,23.02,82.34,全职,1
62,20863.33,0.3532,603.0,335,7,3,56.46,13.75,全职,1
49,81240.77,0.2752,714.0,195,2,0,201.66,7.84,全职,0
28,79331.88,0.0193,748.0,342,4,1,21.26,31.05,全职,1
30,53438.1,0.0884,656.0,248,8,3,21.74,65.56,全职,0
29,115650.6,0.1928,580.0,211,5,1,18.66,72.59,兼职,0
33,61113.26,0.6399,752.0,152,5,0,22.35,300.08,全职,1
55,91574.0,0.1155,639.0,157,6,1,53.44,65.59,全职,0
54,60485.7,0.0644,662.0,138,2,1,21.53,13.48,全职,0
44,42706.02,0.23,696.0,220,4,0,23.37,42.48,全职,0
45,28889.53,0.0908,647.0,272,7,1,16.45,14.9,兼职,0
58,36253.16,0.0754,636.0,153,3,0,29.7,45.65,全职,0
56,43106.92,0.1738,637.0,248,6,0,13.43,223.39,全职,1
61,96913.74,0.078,773.0,278,2,0,7.53,86.42,全职,0
43,72038.77,0.3426,738.0,303,8,1,28.74,26.55,自雇,0
48,57824.02,0.3996,709.0,275,10,1,97.86,98.73,自雇,1
56,75735.7,0.1098,571.0,1,5,2,15.93,25.08,全职,0
22,63811.7,0.4542,709.0,87,4,2,8.73,3.44,全职,0
56,55880.39,0.1291,706.0,286,4,1,92.99,15.9,全职,0
58,23171.31,0.1919,616.0,129,8,1,20.83,86.35,全职,0
35,86645.36,0.204,693.0,77,9,0,42.76,118.2,自雇,0
24,38977.67,0.3831,733.0,259,7,0,11.21,304.19,自雇,1
22,84480.0,0.7065,708.0,240,7,0,20.24,76.8,兼职,0
26,88663.64,0.1145,646.0,140,3,0,61.59,210.01,全职,0
47,35065.76,0.4422,681.0,227,8,0,22.3,102.52,自雇,0
35,78814.95,0.3477,717.0,162,7,2,22.52,139.41,全职,0
60,40925.4,0.1631,683.0,235,2,0,6.11,164.3,兼职,0
48,41047.44,0.3808,743.0,127,5,2,37.7,88.86,全职,0
30,55755.79,0.2781,700.0,199,7,3,10.71,159.95,全职,0
36,56513.58,0.0792,718.0,30,6,2,49.19,27.15,全职,0
36,49974.88,0.3215,721.0,137,1,2,23.62,4.82,全职,0
47,25156.11,0.2277,627.0,20,3,0,25.35,104.66,全职,1
63,46132.67,0.2202,682.0,233,4,1,37.26,79.42,兼职,0
34,153160.15,0.3668,663.0,201,4,2,27.12,22.75,全职,1
53,12185.45,0.1309,732.0,278,3,1,79.42,15.45,全职,0
60,75725.5,0.4558,703.0,130,7,0,69.97,62.22,全职,0
53,83163.39,0.4435,671.0,147,9,1,7.59,111.82,全职,0
25,24855.3,0.2898,616.0,28,4,1,17.52,91.83,自雇,0
51,38765.29,0.3181,600.0,307,3,2,39.22,19.69,全职,0
58,29721.96,0.3613,696.0,161,4,0,9.45,24.65,全职,1
44,123869.35,0.3781,644.0,356,4,2,5.73,106.64,自雇,0
60,85094.07,0.2655,713.0,339,6,1,10.93,58.71,兼职,0
36,87178.47,0.092,598.0,60,3,1,18.32,157.61,全职,1
64,52068.93,0.3205,760.0,124,10,2,0.78,39.52,兼职,0
50,94470.79,0.1307,713.0,70,5,0,8.24,114.38,全职,0
57,48819.33,0.148,685.0,325,5,3,4.84,52.48,兼职,0
34,96720.32,0.3602,764.0,242,3,0,50.27,26.5,全职,0
53,45508.38,0.11,727.0,248,2,1,42.32,138.13,自雇,0
28,34904.78,0.4539,656.0,220,7,0,25.1,20.24,全职,1
43,121233.67,0.1918,684.0,20,5,1,21.76,58.8,全职,1
49,48512.44,0.1776,582.0,81,4,0,31.06,65.2,全职,0
23,31275.8,0.2961,733.0,343,6,1,9.04,48.41,全职,0
63,31106.84,0.3348,665.0,9,5,0,54.72,147.05,自雇,0
27,31154.4,0.4898,581.0,11,4,0,21.64,96.8,全职,1
49,74773.68,0.4474,621.0,262,7,0,41.85,85.92,全职,1
49,46656.55,0.3636,724.0,144,4,2,40.49,58.47,全职,0
41,154659.23,0.3945,761.0,191,2,1,30.79,349.44,全职,0
51,88706.56,0.563,681.0,249,3,0,25.8,236.2,自雇,1
32,55746.45,0.3215,631.0,113,8,0,24.31,136.92,全职,0
49,98908.33,0.0835,609.0,25,5,2,19.1,116.18,全职,0
46,38263.29,0.344,751.0,270,6,1,29.56,29.9,兼职,1
60,19391.83,0.3812,702.0,32,2,1,23.69,51.98,兼职,0
54,29887.88,0.4138,663.0,61,3,2,13.6,103.11,全职,1
22,52765.03,0.2486,652.0,228,3,3,32.71,156.27,全职,1
48,43858.74,0.3988,714.0,302,7,0,25.14,133.23,兼职,0
34,74028.67,0.2173,712.0,94,5,2,52.87,97.61,兼职,0
62,46059.67,0.0911,635.0,34,2,1,4.72,403.68,兼职,0
24,71254.79,0.4603,623.0,192,2,1,20.68,47.68,自雇,1
60,103827.47,0.4001,625.0,75,7,0,11.25,150.38,兼职,0
27,45988.75,0.3079,657.0,248,8,0,13.28,133.15,兼职,1
29,64703.63,0.1166,646.0,82,4,3,31.43,85.12,自雇,0
48,20386.06,0.426,761.0,24,4,2,6.37,88.28,全职,0
30,46076.25,0.3248,655.0,56,4,0,22.34,86.52,全职,0
58,26476.71,0.8413,618.0,31,3,0,20.58,26.89,全职,0
54,52712.79,0.3171,620.0,318,4,0,8.67,81.52,全职,0
63,55160.36,0.0258,671.0,11,6,1,22.79,115.39,兼职,0
45,55068.78,0.1136,589.0,318,5,1,10.92,75.33,兼职,0
36,38558.76,0.0889,677.0,332,5,0,116.51,8.65,兼职,0
53,154698.67,0.0219,613.0,91,3,1,52.54,11.18,自雇,0
53,26003.57,0.3454,738.0,0,6,1,21.2,24.09,全职,0
45,25220.87,0.5414,686.0,325,4,3,14.22,48.82,兼职,0
62,112138.41,0.0762,786.0,135,2,1,30.06,25.42,全职,0
33,34470.54,0.1943,669.0,195,5,2,37.11,104.16,全职,1
60,30566.34,0.408,523.0,132,7,0,24.62,179.83,全职,0
23,155042.72,0.3253,753.0,85,8,1,8.92,207.2,兼职,0
24,80246.74,0.0031,705.0,294,0,1,16.98,76.46,全职,0
58,36416.15,0.1892,713.0,278,5,1,21.38,161.44,兼职,0
38,54652.7,0.1622,630.0,323,4,2,25.34,31.11,全职,0
23,129694.33,0.2257,678.0,179,6,0,25.81,46.92,全职,0
23,69272.99,0.2602,689.0,3,4,0,36.04,17.0,全职,0
49,93253.25,0.5434,668.0,125,7,1,58.75,182.53,全职,1
44,73306.28,0.1383,593.0,174,2,0,45.15,389.92,自雇,0
58,78051.7,0.1068,818.0,250,3,2,32.21,38.53,全职,0
53,50004.63,0.3115,722.0,20,3,0,7.34,6.23,自雇,1
54,49299.75,0.0526,701.0,104,5,2,51.89,21.0,自雇,0
22,56023.43,0.3512,746.0,65,6,1,38.67,28.5,自雇,1
40,70772.54,0.447,712.0,262,9,4,16.37,14.49,全职,1
23,42546.05,0.2195,646.0,48,6,0,20.57,19.49,自雇,0
47,52105.56,0.1444,742.0,15,7,1,21.17,67.0,全职,1
53,41974.9,0.2481,723.0,144,2,1,14.15,105.61,全职,0
27,51939.89,0.3584,648.0,339,2,0,4.96,6.93,全职,0
53,26225.88,0.0376,720.0,249,8,1,8.22,32.07,自雇,0
25,180410.26,0.4094,668.0,342,8,2,9.73,56.69,全职,0
32,33980.09,0.3354,690.0,353,8,0,4.16,18.79,全职,1
38,40915.72,0.3819,710.0,74,7,0,8.24,69.14,全职,0
59,32544.63,0.3972,748.0,289,6,0,50.05,48.53,全职,0
45,66692.94,0.1254,648.0,281,2,0,29.63,34.86,全职,0
26,44444.6,0.2704,698.0,65,7,1,9.24,23.0,兼职,0
55,30275.57,0.4777,781.0,124,6,0,11.58,71.77,全职,0
27,68080.2,0.3474,671.0,318,5,0,53.7,25.44,自雇,0
43,72825.73,0.0685,690.0,86,6,0,52.65,9.65,全职,0
32,47408.74,0.2771,781.0,40,4,3,21.24,55.82,自雇,1
37,35178.38,0.1936,712.0,185,4,1,51.41,15.82,全职,0
54,146610.25,0.2698,606.0,353,4,0,10.88,10.53,全职,1
30,58106.56,0.1751,640.0,334,5,1,24.09,62.15,全职,1
27,25925.06,0.161,714.0,265,4,1,6.18,46.39,全职,1
37,99411.22,0.3455,701.0,270,7,1,15.01,22.96,兼职,0
50,31955.92,0.3292,688.0,41,2,1,20.54,68.64,全职,0
24,193095.31,0.2375,788.0,92,4,1,5.22,83.42,兼职,0
41,51012.65,0.4502,649.0,184,1,0,32.28,69.4,兼职,0
57,81361.54,0.5026,676.0,214,6,2,36.9,66.92,全职,1
40,17326.48,0.1261,582.0,16,1,3,45.1,10.96,全职,1
47,25794.84,0.5994,738.0,264,6,2,129.98,198.99,全职,1
24,95504.61,0.4764,640.0,113,6,1,28.03,95.34,全职,0
40,57463.63,0.0277,733.0,291,0,0,19.08,21.1,全职,0
41,136107.22,0.059,728.0,291,6,2,5.58,53.96,自雇,1
53,62479.11,0.3478,797.0,47,1,0,27.48,65.25,全职,0
28,52714.62,0.2409,712.0,306,4,1,31.42,52.49,全职,0
62,115472.42,0.0477,662.0,96,6,2,6.79,328.02,全职,1
54,81232.32,0.2492,703.0,94,7,0,16.58,7.8,全职,0
61,44438.85,0.1309,642.0,325,6,2,20.27,12.48,兼职,0
60,28366.04,0.2881,696.0,73,3,0,30.68,5.48,兼职,0
39,14975.82,0.4932,670.0,335,7,1,39.84,59.14,兼职,0
61,39386.06,0.4919,676.0,67,6,1,13.08,94.07,兼职,1
22,27087.63,0.2949,635.0,245,5,0,23.6,78.38,全职,0
32,179665.55,0.0346,695.0,76,7,0,31.78,40.89,全职,1
49,35412.3,0.5641,721.0,207,4,0,17.37,81.99,全职,0
46,34931.54,0.2305,597.0,253,7,0,14.34,40.59,兼职,0
44,22911.12,0.1997,646.0,220,1,1,35.52,114.52,兼职,1
52,42909.19,0.4765,688.0,261,2,1,17.42,165.22,全职,0
51,35162.4,0.469,563.0,330,2,2,7.71,21.52,全职,1
63,116875.52,0.5029,767.0,343,6,1,60.25,40.95,全职,0
56,53329.13,0.6367,644.0,258,8,2,8.42,48.15,自雇,1
28,48804.02,0.3803,633.0,307,6,0,18.62,227.11,全职,0
37,45828.6,0.2015,670.0,73,0,0,25.98,24.2,兼职,0
47,72626.67,0.1784,687.0,124,10,1,28.91,163.64,全职,0
23,39098.36,0.4211,642.0,187,2,1,23.0,12.6,全职,1
22,68432.49,0.4132,729.0,253,5,0,1.91,189.34,兼职,0
33,109862.51,0.2344,700.0,320,8,0,11.45,127.98,全职,0
26,61699.89,0.3172,638.0,307,5,0,25.46,46.73,兼职,0
58,43266.52,0.1859,654.0,234,4,1,18.41,136.55,兼职,0
53,30432.62,0.4585,604.0,249,3,1,30.25,33.08,全职,0
30,42720.66,0.7039,617.0,331,7,0,45.48,21.7,兼职,1
62,64960.81,0.4184,699.0,344,7,1,30.12,300.81,全职,0
56,22782.23,0.1212,639.0,71,3,1,11.21,31.78,全职,1
40,74292.95,0.3987,770.0,234,3,1,13.06,107.45,兼职,0
37,54382.97,0.0465,684.0,323,2,2,74.08,165.48,全职,0
24,45497.17,0.1858,612.0,155,2,1,17.4,122.28,全职,1
41,35252.56,0.18,623.0,114,7,0,18.61,99.41,自雇,0
45,38631.03,0.104,733.0,312,4,3,30.2,107.79,全职,0
54,66082.09,0.3913,676.0,227,1,1,54.04,157.19,兼职,0
45,45976.89,0.4593,730.0,321,3,0,9.77,75.02,兼职,1
32,38155.68,0.039,662.0,345,10,3,13.51,52.48,全职,1
29,61962.32,0.276,652.0,244,3,0,5.57,13.89,全职,0
57,63202.23,0.199,736.0,305,6,3,15.85,75.05,全职,0
59,26249.77,0.3744,637.0,13,4,1,31.63,152.68,全职,0
61,65234.28,0.3666,704.0,15,5,0,15.01,18.16,兼职,0
41,171244.75,0.2033,669.0,41,3,1,82.09,43.42,兼职,0
56,61995.09,0.2556,724.0,109,7,0,22.04,83.54,全职,0
46,20962.63,0.2265,771.0,277,5,0,18.51,247.74,全职,0
56,53566.96,0.0619,660.0,323,2,1,15.15,17.14,自雇,0
46,19625.64,0.0228,653.0,18,6,1,6.77,120.72,全职,0
50,238872.65,0.1352,713.0,65,3,0,18.69,38.18,兼职,0
39,149917.04,0.1601,626.0,166,2,2,26.75,27.84,兼职,0
39,35137.73,0.3242,761.0,72,7,1,18.28,21.8,全职,0
23,15949.24,0.1043,752.0,309,6,0,24.16,28.35,全职,0
56,31596.9,0.4018,630.0,111,3,0,11.75,89.94,兼职,1
37,44779.45,0.1831,601.0,273,5,0,7.42,43.48,全职,0
62,20314.05,0.2995,622.0,84,7,4,18.45,111.52,全职,1
57,47357.89,0.4267,623.0,138,4,4,23.96,17.78,兼职,0
54,44632.19,0.3997,720.0,38,4,0,17.55,109.62,兼职,0
25,52186.41,0.6257,757.0,104,3,3,23.64,84.25,全职,1
54,54985.38,0.1269,720.0,323,6,1,37.39,12.09,全职,0
35,30248.18,0.2831,668.0,280,4,0,37.27,246.22,全职,0
42,31993.66,0.2935,697.0,122,5,1,39.88,76.7,全职,0
41,50151.12,0.0371,637.0,217,7,0,44.89,117.38,全职,0
29,35757.09,0.4134,735.0,60,4,1,29.89,173.49,全职,0
28,77168.56,0.0656,702.0,99,3,1,26.71,143.79,全职,0
24,49908.53,0.0437,719.0,306,1,0,95.05,48.13,全职,0
38,124554.87,0.6094,644.0,353,5,0,37.6,112.75,全职,1
54,73883.23,0.2327,672.0,203,8,0,10.22,8.93,全职,0
33,85123.37,0.3821,716.0,257,5,0,4.52,80.94,全职,1
43,52380.15,0.6123,752.0,4,5,2,16.56,308.74,全职,0
43,53033.59,0.192,650.0,196,3,0,33.11,27.24,自雇,1
51,116501.6,0.6065,719.0,179,3,1,43.26,136.38,全职,0
59,40572.82,0.113,644.0,341,6,2,7.39,321.5,全职,0
59,64433.55,0.1288,786.0,132,5,0,36.0,108.77,自雇,0
29,42910.9,0.3379,659.0,323,7,1,49.79,152.23,全职,0
48,42859.47,0.6535,712.0,252,6,0,32.69,11.36,兼职,0
48,27324.85,0.3817,688.0,264,8,0,28.01,21.44,全职,0
55,33817.81,0.2374,810.0,92,8,2,18.06,228.09,全职,0
42,30818.34,0.3589,691.0,149,8,1,13.9,142.64,全职,0
51,65985.11,0.4643,654.0,137,9,1,37.65,89.66,全职,1
54,82462.83,0.0546,712.0,207,5,2,32.03,41.9,全职,0
49,46752.51,0.334,711.0,124,3,0,15.46,72.58,全职,0
54,54984.9,0.1809,672.0,233,4,0,153.5,310.49,全职,0
26,45422.57,0.3502,625.0,60,5,0,6.0,49.31,自雇,0
40,32683.06,0.2087,654.0,306,6,1,16.68,109.86,全职,1
25,75442.91,0.2465,724.0,265,7,1,10.84,107.02,全职,0
56,67932.33,0.2266,593.0,133,4,1,27.31,28.05,全职,0
38,19029.14,0.4793,668.0,317,6,1,4.22,30.31,全职,0
49,42550.44,0.6039,730.0,112,13,0,55.45,251.39,兼职,0
51,31539.19,0.0887,675.0,190,3,1,44.9,96.56,全职,0
50,40317.09,0.2644,789.0,186,7,2,24.88,27.65,全职,0
27,35058.88,0.3531,593.0,318,7,0,15.67,39.99,兼职,1
56,47896.12,0.2815,632.0,88,2,3,35.63,20.38,兼职,0
62,41566.2,0.3716,564.0,186,5,1,26.13,158.62,全职,1
58,41127.39,0.4948,780.0,306,2,1,43.02,42.45,全职,1
45,85279.91,0.2397,633.0,131,4,0,18.21,43.02,全职,1
50,64769.45,0.1387,581.0,359,3,1,17.37,126.59,全职,0
52,34477.17,0.3765,649.0,122,3,3,47.57,10.18,全职,1
56,37131.71,0.0496,610.0,47,1,0,33.35,52.62,全职,0
54,62686.2,0.5127,650.0,287,7,0,17.48,54.01,自雇,1
42,62643.16,0.1425,682.0,178,4,0,26.96,41.03,全职,0
53,36246.93,0.0175,720.0,179,9,2,23.29,31.51,全职,0
44,43608.38,0.3338,671.0,98,4,2,29.19,26.84,全职,0
54,123426.73,0.0675,681.0,329,6,0,55.45,72.42,全职,1
24,36560.58,0.5741,651.0,33,3,1,15.18,19.88,全职,1
39,127440.17,0.4039,604.0,69,8,1,11.99,64.15,全职,1
46,85121.38,0.148,588.0,170,6,0,25.0,31.41,全职,0
63,116158.18,0.1957,662.0,271,5,2,13.08,33.57,全职,0
52,35791.44,0.0936,684.0,58,3,1,9.69,66.49,全职,0
24,45058.73,0.4503,658.0,180,11,0,44.47,33.2,全职,1
61,39160.27,0.4369,590.0,18,7,1,15.96,193.84,全职,1
45,86109.64,0.417,690.0,225,6,1,4.51,47.46,全职,0
53,36907.06,0.1603,761.0,94,6,0,39.56,155.5,全职,0
43,70658.08,0.4973,674.0,296,6,1,14.15,25.48,全职,1
44,68813.12,0.5245,651.0,80,6,3,31.89,24.93,兼职,0
23,47857.6,0.3846,677.0,174,5,0,47.79,10.35,兼职,0
48,93838.44,0.2138,625.0,221,8,2,23.38,33.38,全职,0
63,51732.42,0.2738,622.0,102,6,2,3.94,43.27,兼职,0
23,74387.47,0.205,703.0,53,8,1,4.17,58.97,全职,0
47,38278.68,0.1858,730.0,182,13,0,11.73,109.66,兼职,0
38,34141.93,0.4466,673.0,350,4,1,19.19,101.98,全职,0
61,70655.61,0.6033,581.0,317,1,0,52.46,169.97,全职,0
54,60804.56,0.2147,698.0,354,4,0,25.36,22.48,全职,0
30,55362.28,0.1175,783.0,348,2,1,163.01,56.31,全职,0
64,41280.93,0.2196,668.0,320,7,1,6.09,20.08,自雇,0
60,106362.12,0.4504,671.0,67,4,1,22.13,82.62,全职,0
50,28048.97,0.1523,636.0,27,5,1,14.06,331.71,全职,0
63,27291.44,0.3471,704.0,273,8,4,24.23,16.5,全职,0
47,78518.01,0.4123,646.0,281,6,2,81.56,108.59,全职,1
56,75361.23,0.3984,731.0,359,5,3,85.79,155.81,全职,1
46,58505.81,0.3553,647.0,310,2,3,20.98,22.36,全职,1
45,42447.53,0.2066,697.0,118,6,2,40.01,84.46,全职,0
34,63020.23,0.3117,678.0,133,5,1,23.87,38.09,兼职,0
28,115892.13,0.3734,758.0,128,6,2,8.5,48.37,全职,1
57,172434.56,0.2064,700.0,7,3,1,20.32,36.85,全职,1
41,21413.85,0.1912,749.0,50,6,0,13.41,43.6,全职,0
22,39756.95,0.0393,685.0,340,6,3,19.1,173.39,自雇,0
29,38526.95,0.4217,671.0,280,4,2,10.16,50.44,全职,0
37,110554.04,0.058,678.0,174,7,0,22.74,29.91,全职,0
35,14176.66,0.1921,641.0,182,4,0,25.65,58.5,自雇,0
33,63380.88,0.6265,707.0,191,0,1,35.28,6.54,全职,0
44,43113.65,0.3957,645.0,248,9,0,25.74,24.12,全职,0
36,111196.74,0.4667,686.0,234,1,2,74.27,190.3,全职,0
49,103830.95,0.3339,723.0,82,6,1,116.02,47.21,自雇,0
55,58850.37,0.3783,759.0,92,4,1,14.53,33.85,自雇,1
23,22250.92,0.4506,688.0,311,5,1,43.64,64.91,兼职,0
53,36792.72,0.1438,723.0,267,6,0,109.04,114.05,全职,0
44,38863.25,0.2817,717.0,119,8,2,44.56,206.18,全职,0
43,25254.83,0.4842,661.0,70,4,3,35.65,34.78,全职,0
46,87316.27,0.2048,785.0,16,5,1,4.68,35.59,兼职,0
43,23701.34,0.3635,651.0,252,10,0,12.85,43.68,自雇,0
43,130962.17,0.0692,685.0,121,5,1,14.44,152.8,全职,0
63,130798.25,0.5192,753.0,9,7,1,60.93,57.8,全职,0
27,40435.76,0.3368,751.0,286,6,0,11.2,476.22,全职,0
36,57771.32,0.3722,681.0,315,4,0,18.76,46.48,全职,0
64,47280.74,0.5314,730.0,325,3,2,39.34,318.46,全职,0
58,76950.1,0.2353,669.0,272,5,1,10.8,22.35,全职,0
54,92719.93,0.1522,656.0,305,4,1,25.11,13.6,全职,0
29,55770.4,0.1633,619.0,292,4,1,22.62,49.33,全职,0
26,61979.46,0.2514,716.0,209,5,1,40.52,170.61,兼职,0
60,35943.3,0.2598,721.0,217,2,3,34.02,33.89,兼职,0
25,60983.4,0.261,652.0,240,7,0,33.18,29.47,自雇,1
27,53176.99,0.1928,693.0,199,3,1,23.59,152.17,兼职,0
53,31073.25,0.4184,813.0,215,5,0,5.26,110.51,全职,1
51,48677.95,0.1649,737.0,204,6,0,22.46,24.72,全职,0
56,40473.74,0.3361,635.0,215,8,1,20.99,23.32,自雇,1
61,36143.49,0.0858,730.0,79,5,2,37.09,125.12,全职,0
37,27632.68,0.3089,635.0,266,3,1,14.32,10.68,全职,0
34,50576.96,0.3169,535.0,34,3,2,20.77,160.7,全职,1
63,33182.01,0.1655,679.0,288,5,0,21.3,109.05,兼职,0
51,38732.95,0.3683,758.0,17,7,3,11.36,5.58,全职,0
40,83915.21,0.4714,750.0,164,5,0,7.98,55.45,全职,0
38,67242.32,0.2917,699.0,12,5,1,27.28,7.55,全职,0
40,30049.96,0.3647,653.0,201,10,0,44.98,16.36,兼职,0
